"No","Player Name","School Name","Gm","Avg","E","Top 1","Top 5","Top 10","Top 25","Field Avg","Avg Diff"
"117","Anthony Scharton","Grand Canyon University","48","200.188","11","1","3","4","4","183.592","16.595"
"118","Alex Smith","Robert Morris University (PA)","40","200.125","9","0","0","2","5","182.129","17.996"
"119","David Hart","Ohio State University","45","200.111","10","1","4","5","5","178.071","22.04"
"120","Blake Landers","Shawnee State University","41","199.951","10","0","0","1","5","181.783","18.168"
"121","Chris Mace","Indiana Wesleyan University","46","199.891","11","0","2","3","6","180.718","19.174"
"122","Zakarey Geer","Wisc.-Whitewater","45","199.778","11","0","0","1","4","179.907","19.871"
"123","Colin Hunter","Bowling Green State University","52","199.692","13","1","1","5","7","184.531","15.162"
"124","Sam Clay","Shawnee State University","47","199.638","10","0","2","3","6","180.403","19.236"
"125","Joseph Dupont","Toledo ,University Of","49","199.551","10","1","1","1","2","187.887","11.664"
"126","Brett Maciejewski","Northwestern Ohio ,University Of","44","199.5","11","0","1","1","3","181.638","17.862"
"127","Isiah Bautista","Midland University","61","199.377","11","0","1","2","4","181.293","18.084"
"128","Marshal Crider","Nevada-Las Vegas ,University Of","45","199.244","10","0","3","5","6","182.652","16.593"
"129","Tylan Kim-Arellano","Rochester University","53","199","12","0","0","2","5","187.869","11.131"
"130","Lucas Francis","Purdue University","48","198.896","9","0","2","2","2","181.307","17.588"
"131","Matt Devorsky","St. Francis (IL) ,University Of","53","198.849","12","0","0","0","3","183.957","14.892"
"132","Hunter Harper","Emmanuel University","49","198.755","10","0","0","2","5","180.931","17.824"
"133","Charlie Smith","Midway University","58","198.5","13","0","0","2","3","186.506","11.994"
"134","Ardani Rodas","St. Francis (IL) ,University Of","53","198.415","12","0","0","0","1","183.846","14.569"
"135","Justin Weddige","Ottawa University (KS)","59","198.136","11","0","2","4","4","180.051","18.085"
"136","Jeremy Vanost","Drury University","68","197.985","11","0","0","2","5","183.67","14.315"
"137","Tyler Keller","Rock Valley College","47","197.809","11","0","0","1","1","181.519","16.29"
"138","Lance Owens","Belmont Abbey College","47","197.723","10","0","0","1","1","187.458","10.266"
"139","Kieran Carney","SUNY-Stony Brook","43","197.605","9","0","2","3","6","175.461","22.144"
"140","Keaten Bieri","Culver-Stockton College","48","197.604","10","1","2","3","3","181.689","15.915"
"141","Cayden Russell","Vincennes University","45","197.578","10","0","1","1","4","185.606","11.971"
"142","Dominic Catanese","Rio Grande ,University Of","45","197.467","11","0","0","1","1","184.055","13.412"
"143","Roman Roberts","Grand Canyon University","40","197.25","11","0","1","2","3","184.691","12.559"
"144","Brandon Williamson","St. Francis (IL) ,University Of","54","197.241","12","0","0","2","4","183.199","14.042"
"145","Andrew Hurte","Southern Nazarene University","61","197.197","11","0","3","3","4","183.298","13.898"
"146","Nick Gregg","Vincennes University","42","197.19","10","0","0","1","3","185.944","11.246"
"147","Jerry Jennings","Ottawa University (KS)","65","197.031","11","0","1","2","5","179.908","17.123"
"148","Caleb Kelley","Oklahoma Christian University","43","196.884","9","0","0","0","1","183.627","13.257"
"149","Kyle Drazil","Northwestern Ohio ,University Of","41","196.878","11","0","0","0","1","182.368","14.51"
"150","Dylan Jablonski","Concordia University","48","196.521","12","0","1","1","1","184.907","11.614"
"151","Anthony Lundy","Quincy University","56","196.446","11","0","0","1","5","180.471","15.975"
"152","Allen Stauffer","Iowa Western Community College","47","196.426","9","0","1","2","5","180.717","15.709"
"153","Zachary Baum","Michigan-Dearborn","45","196.378","11","0","0","1","6","184.257","12.12"
"154","Michael Wiese","Notre Dame College","46","196.304","10","0","0","3","4","186.384","9.921"
"155","Evan Decker","Kentucky Wesleyan","48","196.271","11","0","0","0","4","185.149","11.121"
"156","Kenny Haslip","Muskingum University","41","196.244","11","0","0","0","1","183.411","12.832"
"157","Matthew Berg","Ottawa University (KS)","51","196.216","11","0","2","2","2","180.07","16.145"
"158","Nicholas Sternes","Saint Xavier University","44","196.114","10","0","0","0","1","183.544","12.57"
"159","Bryce Keykal","William Penn University","52","196.058","10","0","0","2","3","181.641","14.416"
"160","Canon Estes","Southern Nazarene University","53","195.943","11","0","1","3","5","183.502","12.441"
"161","Brandon Ogden","Midland University","51","195.882","11","1","1","2","4","181.693","14.19"
"162","Matthew Foutz","Huntington University","49","195.878","12","0","0","0","6","183.651","12.227"
"163","James Stewart","Wisc.-Whitewater","42","195.452","10","0","1","1","2","178.225","17.228"
"164","Sebastian Beth","Judson University","44","195.432","9","0","0","2","4","182.724","12.707"
"165","Jarrett Smith","California State University-Fresno","47","195.426","8","0","0","0","6","182.006","13.42"
"166","Nicholas Tomlinson","William Paterson University","47","195.191","11","1","3","3","4","177.303","17.889"
"167","Zachary Zoromski","Wisc.-LaCrosse","46","195.109","9","0","0","4","5","175.338","19.77"
"168","Billy Tropepe","Drury University","68","195.074","11","0","0","1","5","183.67","11.403"
"169","Nole Hefty","Marian University (WI)","44","195.068","12","0","0","1","2","177.436","17.632"
"170","Ben Darrow","William Paterson University","42","195","11","0","1","2","4","176.413","18.587"
"171","Parker Spencer","Cumberland University","42","194.905","9","0","0","1","2","184.611","10.293"
"172","Matthew Steffen","Wisc.-Oshkosh","57","194.825","11","0","1","2","5","174.85","19.974"
"173","Neil Weinstein","California State University-Fresno","61","194.738","14","1","3","4","5","183.291","11.447"
"174","Josh Hammons","Kansas ,University Of","40","194.45","7","0","0","1","3","178.064","16.386"
"175","Jacob Frazier","Midland University","59","194.373","11","0","0","1","4","181.191","13.182"
"176","David Swavely","Southern Nazarene University","56","194.339","11","0","0","1","3","183.192","11.147"
"177","Jared Griffin","California-Davis ,University Of","60","194.3","10","1","2","4","7","180.147","14.153"
"178","James Kontos","Judson University","41","194.293","9","0","1","1","3","183.639","10.654"
"179","Koen Parungao","San Jose State University","61","194.23","12","1","1","4","6","180.638","13.592"
"180","C. J. Todeschi","Arizona Christian University","51","194.216","10","0","1","2","5","184.056","10.16"
"181","Miles Peck","Midland University","56","194.214","10","0","1","3","4","181.019","13.196"
"182","Henry Hecht","SUNY-Stony Brook","40","194.2","9","0","3","3","5","175.079","19.121"
"183","Justin Dresbach","Trine University","43","194.07","11","0","0","0","0","186.227","7.842"
"184","Brighton Lucas","Vincennes University","43","194.047","10","1","1","1","2","185.631","8.415"
"185","Eric Roberts","Judson University","47","194.043","9","0","0","1","2","183.521","10.521"
"186","Elijah Martini","Wright State University","43","193.953","11","0","0","1","4","185.009","8.944"
"187","Jason Bilawsky","New Jersey Institute Of Technology","41","193.829","9","1","1","1","6","175.852","17.977"
"188","Samuel Moran","Rock Valley College","46","193.826","11","0","0","1","1","181.785","12.041"
"189","Daniel Kohn","Texas-San Antonio ,University Of","54","193.796","10","0","1","2","5","180.611","13.186"
"190","Jacob Mattison","Hawkeye Community College","50","193.72","10","0","2","2","6","180.323","13.397"
"191","Shane Smith","Arizona State University","61","193.689","12","1","1","1","6","183.272","10.416"
"192","Anthony Thibodeaux","Madonna University","44","193.682","12","0","0","0","3","185.085","8.597"
"193","Dylan Obowa","Wartburg College","55","193.673","10","1","1","2","6","180.371","13.302"
"194","Braden Schuld","Rock Valley College","54","193.611","11","0","0","0","3","180.834","12.777"
"195","Keegan Bradley","Spring Arbor University","48","193.417","13","0","0","1","5","181.128","12.289"
"196","Tanner Webb","Clarke University","53","193.415","10","0","0","4","5","180.955","12.46"
"197","Logan Tincher","Midway University","48","193.396","11","0","0","0","1","186.948","6.448"
"198","Stephen Simmons","University of the Cumberlands","51","193.373","10","0","0","0","3","186.223","7.149"
"199","Edward Burgos","Saint Xavier University","55","193.145","10","0","0","2","2","182.766","10.379"
"200","Isaac Skalak","Peru State College","47","193.128","9","0","3","3","5","178.396","14.732"
"201","Corbin Vines","Wisc.-LaCrosse","42","193","9","1","1","2","5","175.037","17.963"
"202","Michael Fekete","St. Vincent College","45","192.978","10","0","0","2","4","180.453","12.525"
"203","Caden Witt","Quincy University","51","192.882","11","0","0","1","4","180.27","12.612"
"204","Ryan Tuite","Midway University","45","192.867","13","0","0","0","2","185.253","7.614"
"205","Nathan Arias","Viterbo University","50","192.8","10","0","0","4","7","174.946","17.854"
"206","Anthony Lizzio","St. Francis (IL) ,University Of","47","192.766","12","0","0","0","1","183.859","8.907"
"207","Zachary Ison","Shawnee State University","46","192.652","10","0","0","3","3","180.786","11.866"
"208","Benjamin Hunn","Louisiana State University","55","192.582","9","0","1","2","5","180.83","11.751"
"209","Mark Livingston","Robert Morris University (PA)","42","192.333","9","0","0","0","3","182.821","9.513"
"210","Rene Canez","Arizona State University","59","192.305","11","1","1","2","8","182.215","10.09"
"211","Logan Gear","Midland University","53","192.189","11","1","2","2","2","180.66","11.528"
"212","Keala Sexton","San Jose State University","41","192.146","8","0","1","2","3","183.038","9.108"
"213","Shane Jordan","Clarke University","44","192.114","9","0","1","2","4","180.296","11.818"
"214","Nathan Clark","Bowling Green State University","43","192.093","13","0","0","1","3","184.584","7.509"
"215","Kenneth High","Hastings College","47","192.064","9","0","1","1","3","178.709","13.355"
"216","Michael Willshire","Davenport University","45","191.978","11","0","0","1","1","184.348","7.63"
"217","Tyler Kelly","Davenport University","63","191.952","14","0","0","1","3","182.951","9.001"
"218","Vincent Biehn","Midway University","42","191.929","9","0","0","1","2","187.482","4.447"
"219","Korbin Tenbrink","Grand Valley State University","40","191.9","10","0","0","0","4","183.991","7.909"
"220","Logan Gautreaux","Louisiana-Lafayette ,University Of","49","191.878","10","0","0","1","2","182.214","9.664"
"221","Joshua Felcoski","Adrian College","54","191.778","12","0","2","3","5","185.582","6.196"
"222","Connor Gallagher","Notre Dame College","43","191.721","10","0","0","0","2","186.421","5.3"
"222","Zacary Barbee","Drury University","68","191.721","11","0","0","0","3","183.67","8.05"
"224","Colby Hietpas","Wisc.-Oshkosh","52","191.577","11","0","0","1","3","175.8","15.777"
"225","Austin Hale","University of the Cumberlands","51","191.549","10","0","1","2","2","186.304","5.245"
"226","Brock Bivins","Arizona Christian University","49","191.531","10","0","0","1","6","184.027","7.504"
"227","Ryan Kaufman","Waldorf University","48","191.396","9","0","0","0","3","181.154","10.242"
"228","Logan Mathis","Emmanuel University","45","191.356","9","0","1","1","4","179.705","11.651"
"229","Hunter Hawley","Belmont Abbey College","40","191.35","10","0","0","0","1","188.174","3.176"
"230","Luke Belvin","Kansas State University","74","191.284","13","0","1","1","5","182.395","8.889"
"231","Xavier Gauthier","Wisc.-Oshkosh","46","191.109","9","0","0","3","4","176.881","14.227"
"232","Nolan Byers","California State University-Fresno","68","191.044","14","0","1","1","6","181.522","9.522"
"233","KeShaun Johnson","Arizona State University","50","190.96","12","0","0","1","5","184.343","6.617"
"234","Jalin Ragland","Rio Grande ,University Of","57","190.895","12","0","0","0","3","183.306","7.589"
