"No","Player Name","School Name","Gm","Avg","E","Top 1","Top 5","Top 10","Top 25","Field Avg","Avg Diff"
"283","Elizabeth Johll","Wartburg College","50","160.24","9","0","0","0","4","168.23","-7.99"
"284","Kendell Sheldon","Viterbo University","45","159.644","9","0","2","3","5","158.452","1.192"
"285","Alexa Klaasen","Iowa Central Community College","49","159.388","10","0","0","0","2","168.371","-8.983"
"286","Abi Larkin","Mount Vernon Nazarene University","44","159.273","11","0","0","0","1","162.447","-3.175"
"287","Gabbi McCarthy","Iowa Western Community College","48","159.146","9","0","0","0","3","165.014","-5.868"
"288","Jersie Benson","Luther College","49","157.918","9","0","0","0","2","166.436","-8.518"
"289","Kirsten Zirjacks","Avila University","48","157.896","9","0","0","0","1","167.374","-9.478"
"290","Jennifer Hayakawa","Clarke University","50","157.36","10","0","0","0","3","168.591","-11.231"
"291","LeAnn Severson","Rock Valley College","49","156.98","11","0","0","0","1","167.963","-10.984"
"292","Breanna Warren","Kansas State University","52","156.962","10","0","0","0","2","169.952","-12.991"
"293","Rainee VanHeerde","Bowling Green State University","40","156.925","10","0","0","0","2","161.852","-4.927"
"294","Alexis Goldthorpe","Tiffin University","47","156.851","9","0","0","0","3","159.546","-2.695"
"295","Autumn Thompson","Kansas Wesleyan University","41","156.756","8","0","0","0","2","164.105","-7.349"
"296","Sydnie Wilson","Tiffin University","42","156.5","8","0","0","0","1","159.226","-2.726"
"297","Elena McGuire","Kansas State University","55","155.618","11","0","0","0","1","170.076","-14.458"
"298","Katie Morse","Hastings College","43","155.419","10","0","0","0","1","164.313","-8.894"
"299","Katrina McKay","Michigan-Dearborn","42","155.381","10","0","0","0","2","164.915","-9.534"
"300","Abby Hume","Wartburg College","45","155.267","9","0","0","0","2","168.374","-13.107"
"301","Samantha Camilo","Hawkeye Community College","40","155.15","10","0","0","1","1","165.545","-10.395"
"302","Madelynn Napier","Union College","50","154.98","10","0","0","0","2","166.869","-11.889"
"303","Kaelyn Tolley","Mobile ,University Of","46","154.935","10","0","2","2","5","157.273","-2.339"
"304","Siena Shearer","Wisc.-Milwaukee","49","154.306","10","0","0","0","5","162.603","-8.297"
"305","Natalie Gilbert","Kansas State University","56","153.964","11","0","0","0","2","168.66","-14.696"
"306","McKenna Shaufenbuel","Wartburg College","47","153.787","9","0","0","0","1","168.323","-14.536"
"307","Maria Pawlak","Rock Valley College","56","153.482","11","0","0","0","1","168.113","-14.631"
"308","Brenna Winders","Southern Nazarene University","43","152.116","9","0","0","1","3","168.118","-16.002"
"309","Caitlyn Rawson","William Woods University","40","151.025","10","0","0","0","0","169.821","-18.796"
"310","Hannah Sherman","Alma College","41","150.878","10","0","0","0","2","161.337","-10.459"
"311","Chloe Hickland","Purdue University","49","150","9","0","0","0","1","166.479","-16.479"
"312","Savannah Hawkins","Southern Nazarene University","40","148.775","9","0","0","0","2","169.586","-20.811"
"313","Courtney Keller","Viterbo University","43","147.744","9","0","0","1","5","158.817","-11.072"
"314","Amber Thomason","Union College","48","146.729","10","0","0","0","1","167.178","-20.449"
"315","Cassidy Goans","Barton Community College","44","145.318","10","0","0","0","1","170.556","-25.238"
"316","Carlie Prymek","Luther College","49","144.653","9","0","0","0","1","166.436","-21.783"
"317","Elizabeth Barrientos","Kansas State University","40","143.925","11","0","0","0","0","170.939","-27.014"
"318","Rilee Allen","Culver-Stockton College","55","143.218","10","0","0","0","1","167.5","-24.281"
"319","Heaven Cooper","Union College","42","141.595","9","0","0","0","0","168.102","-26.507"
"320","Sydney Chandler","Kansas ,University Of","44","140.295","9","0","0","0","0","165.217","-24.922"
"321","Cat Tucker","Adrian College","40","138.9","8","0","0","0","1","163.503","-24.603"
"322","Ava Swanson","Wisc.-Milwaukee","49","138","10","0","0","0","3","162.681","-24.681"
"323","Sydney Hageman","Luther College","44","137.886","8","0","0","0","1","166.229","-28.342"
"324","Andrei Sebastian","San Jose State University","51","134.373","10","0","5","8","8","154.442","-20.069"
"325","Jocelyn Demiglio","Luther College","44","127.045","8","0","0","0","0","166.229","-39.183"
"326","Raven London","Mobile ,University Of","44","124.455","10","0","0","2","4","157.558","-33.103"
"327","Elizabeth Grady","Adrian College","41","122.22","9","0","0","0","1","163.738","-41.519"
"328","Ava Rich","Indiana Wesleyan University","40","114.8","9","0","0","0","0","159.038","-44.238"
"329","Madison Gipe","Mobile ,University Of","42","103.024","10","0","0","2","2","157.985","-54.961"
